item_id,item_name,slot,str,mag,def,hp,special_ability,rarity,flavor_text,series_tag,icon
new_697182,Moonlit Halberd of Impact,Weapon,22,16,2,0,None,Uncommon,Highly recommended by 4 out of 5 dead heroes.,Scholomance,/icons/icons_quest_misc_173.png
new_174873,Standard-Issue Sigil of the Colossus March,Neck,24,4,9,15,None,Uncommon,It still smells faintly of the previous owner.,System,/icons/acc_necklace_001.png
new_789186,Fool-Marked Mace of the Wall,Weapon,9,7,29,75,None,Rare,"It rattles when moved, much like your long-term build plan.",Mark of the Fool,/icons/weapon_mace_185.png
new_332035,Montana's Compass of the Moon Script,Trinket,32,26,1,5,None,Rare,The finish peeled off before you equipped it. Very efficient.,The Good Guys,/icons/acc_trinket_121.png
new_452108,Gleaming Shock Baton of Stars,Weapon,4,8,8,0,None,Common,A reward for your 'hard work.' Try not to lose it.,General,/icons/icons_quest_misc_260.png
new_654351,Tinplate Dirk of the Void,Weapon,3,12,2,15,None,Common,Stamped out by a bored quartermaster and dropped immediately. A natural lifecycle.,General,/icons/weapon_shortblade_036.png
new_821969,Dan's Lantern Core of Brilliance,Trinket,9,21,7,15,None,Uncommon,The kind of gear merchants call 'starter' and veterans call 'bait.',The Bad Guys,/icons/acc_trinket_004.png
new_176150,Ooze-Stained Mask of Deflection,Head,2,6,12,0,None,Common,A minor triumph of cheap materials over basic standards.,General,/icons/head_cloth_138.png
new_451589,Budget-Line Longbow of the Warlord,Weapon,9,3,7,5,None,Common,The System acknowledges your survival. For now.,High-Tech,/icons/weapon_bow_139.png
new_467444,Second-Hand Band of the Stone Choir,Ring,3,7,9,5,None,Common,"Smells like mildew, pennies, and survivorship bias.",General,/icons/acc_ring_077.png
new_111067,Tavi's Observer Goggles of the Crushing Tide,Head,41,13,24,10,None,Epic,Slightly better than nothing. Only slightly.,A Thousand Li,/icons/icons_quest_misc_155.png
new_142549,Stamped-Alloy Brigandine of the Sage,Chest,6,31,19,20,None,Rare,Forged in the fires of your own obsession.,High-Tech,/icons/icons_quest_misc_207.png
new_822078,Dan's Visor of the Deep Keep,Head,7,4,8,5,None,Common,The kind of gear merchants call 'starter' and veterans call 'bait.',The Bad Guys,/icons/head_plate_073.png
new_708425,Factory-Stamped Mail of the Warlord,Chest,12,3,0,25,None,Common,It was discovered under a cart. Great destinies begin somewhere awful.,High-Tech,/icons/chest_mail_096.png
new_543685,Archmagus Chainblade of the Ether Crown,Weapon,2,39,15,120,None,Epic,The kind of gear merchants call 'starter' and veterans call 'bait.',Legend of the Arch Magus,/icons/icons_quest_misc_008.png
new_960397,Salvaged Chain of the Adamant Crown,Neck,19,13,3,25,None,Uncommon,The System acknowledges your survival. For now.,High-Tech,/icons/acc_neck_004.png
new_752140,Iron-Bound Rosary of Ripping,Neck,32,1,24,15,None,Rare,Slightly better than nothing. Only slightly.,General,/icons/acc_necklace_004.png
new_696454,Glowing Beacon of the Iron Avalanche,Trinket,43,23,5,45,None,Epic,The craftsmanship is... adequate. Barely.,General,/icons/acc_trinket_046.png
new_160349,Monarchforged Cuirass of the Chainbreaker,Chest,33,24,11,60,None,Epic,A patch fix for a bug that technically never existed.,Cradle,/icons/chest_plate_045.png
new_939025,Ooze-Stained Shell Armor of the Crushing Tide,Chest,48,4,24,20,None,Epic,Stamped out by a bored quartermaster and dropped immediately. A natural lifecycle.,General,/icons/icons_quest_misc_209.png
new_660052,Nerfed Cuirass of the Comet,Chest,6,10,3,5,None,Common,A pity prize for finishing another book.,System,/icons/chest_plate_057.png
new_363438,Gleaming Null Ring of the Mountain,Ring,19,0,20,5,None,Uncommon,It was discovered under a cart. Great destinies begin somewhere awful.,General,/icons/acc_ringwod_021.png
new_461852,Nerfed Wreath of Ripping,Head,9,3,3,25,None,Common,The finish peeled off before you equipped it. Very efficient.,System,/icons/icons_quest_misc_053.png
new_805648,Crownsworn Warhammer of the Juggernaut,Weapon,26,9,9,80,None,Rare,The craftsmanship is... adequate. Barely.,Mark of the Fool,/icons/weapon_mace_182.png
new_570956,Rattletrap Gladius of Unbroken Lines,Weapon,5,2,12,5,None,Common,A pity prize for finishing another book.,High-Tech,/icons/weapon_sword_257.png
new_499333,Blackflame Loopband of the Mountain,Ring,23,8,27,10,None,Rare,"Smells like mildew, pennies, and survivorship bias.",Cradle,/icons/acc_ring_036.png
new_552519,Surplus Soul Vial of Final Impact,Trinket,9,1,10,0,None,Common,Forged in haste and probably in violation of several safety codes.,Imperial Initiative,/icons/acc_trinket_016.png
