quest_id,target_type,target_name,quest_name,description,xp_reward,guaranteed_loot_id,lore_source,dmg
q_001,series,Dungeon Crawler Carl,"God Dammit, Donut!",Survive the collapse and conquer the dungeon.,1500,loot_001,Dungeon Crawler Carl,1750
q_002,book,The Dungeon Anarchist's Cookbook,Recipe for Disaster,Learn the explosive truths of the 3rd floor.,300,loot_002,Dungeon Crawler Carl,250
q_003,series,The Primal Hunter,Apex Predator,Conquer the tutorial and the newly integrated world.,1500,loot_003,The Primal Hunter,3250
q_004,book,The Primal Hunter 2,Alchemical Ambitions,Master the cauldron and survive the wild.,300,loot_004,The Primal Hunter,250
q_005,series,He Who Fights with Monsters,Ashen Ascendant,Embrace your outworlder destiny.,1500,loot_005,He Who Fights with Monsters,3000
q_006,book,He Who Fights with Monsters 2,Blood and Leeches,Acquire a rather unusual familiar.,300,loot_006,He Who Fights with Monsters,250
q_007,series,Defiance of the Fall,Earth's Defiance,Stand against the invading forces of the multiverse.,1500,loot_007,Defiance of the Fall,4000
q_008,book,Defiance of the Fall 3,Void Touched,Harness the power of the void.,300,loot_008,Defiance of the Fall,250
q_009,series,Cradle,Unsouled No More,Advance your core from Foundation to Monarch.,1500,loot_009,Cradle,3250
q_010,book,Wintersteel,The Uncrowned King,Prove your might and advance your path.,600,loot_010,Cradle,500
q_011,book,Ghostwater,Pocket Dimensions,Survive the collapsing pocket world.,300,loot_011,Cradle,250
q_012,series,Beware of Chicken,The Dao of Farming,Reject heaven-defying cultivation for a quiet life.,1500,loot_012,Beware of Chicken,1250
q_013,book,Beware of Chicken: A Xianxia Cultivation Novel,Fa Ram,Establish your farm and meet your unusual pets.,300,loot_013,Beware of Chicken,250
q_014,series,The Wandering Inn,Is It A Skill?,"Serve food, survive goblins, and level up.",1500,loot_014,The Wandering Inn,4250
q_015,book,The Wandering Inn,First Guests,Open the inn doors for the first time.,300,loot_015,The Wandering Inn,1250
q_016,series,Mother of Learning,Time is a Flat Circle,Escape the month-long time loop.,1500,loot_016,Mother of Learning,1000
q_017,book,Mother of Learning Arc 1,The First Reset,Realize that you are trapped in time.,300,loot_017,Mother of Learning,250
q_018,series,Noobtown,Mayor Jim,Rebuild the village of Noobtown.,1500,loot_018,Noobtown,2000
q_019,book,The Mayor of Noobtown,Feckin' Badgers,Survive your first encounters with the wildlife.,300,loot_019,Noobtown,187.5
q_020,series,The Ripple System,Unrivaled,Exploit the early access advantage.,1500,loot_020,The Ripple System,1500
q_021,series,Chrysalis,For the Colony!,Evolve from a lowly monster ant.,1500,loot_021,Chrysalis,1750
q_022,series,Azarinth Healer,Battle Junkie,Punch and heal your way across the world.,1500,loot_022,Azarinth Healer,1250
q_023,book,Azarinth Healer: Book One,Ashen Ruins,Discover the lost order of battle healers.,300,loot_023,Azarinth Healer,250
q_024,series,Everybody Loves Large Chests,Shiny!,Consume adventurers and collect all the shiny things.,1500,loot_024,Everybody Loves Large Chests,2250
q_025,series,The Completionist Chronicles,Ritual Mastery,Complete all the hidden quests.,1500,loot_025,The Completionist Chronicles,3250
q_026,book,Ritualist,The Jumper,Take a leap of faith into a new class.,300,loot_026,The Completionist Chronicles,375
q_027,series,Battle Mage Farmer,Swords to Plowshares,Keep the Doom stat at bay.,1500,loot_027,Battle Mage Farmer,2250
q_028,series,System Universe Series,System Interference,Break the rules of the local system.,1500,loot_028,System Universe Series,2000
q_029,book,System Change: A LitRPG Adventure,A New Void,Survive the unexpected system shift.,300,loot_029,System Universe Series,250
q_030,series,The Perfect Run,Save Point,Achieve the elusive perfect ending.,1500,loot_030,The Perfect Run,750
q_031,series,Arcane Ascension,Climber of the Spire,Unravel the mysteries of the Serpent Spire.,1500,loot_031,Arcane Ascension,1500
q_032,book,Sufficiently Advanced Magic,Enchanter's Trial,Survive your first judgment.,300,loot_032,Arcane Ascension,250
q_033,series,Ascend Online,Village Builder,Establish and defend your new virtual home.,1500,loot_033,Ascend Online,1000
q_034,series,Cinnamon Bun,Power of Friendship,Make friends with literally everything.,1500,loot_034,Cinnamon Bun,1500
q_035,series,A Thousand Li,The Long Journey,Cultivate the Dao of the martial world.,1500,loot_035,A Thousand Li,3250
q_036,series,The Legend of Randidly Ghosthound,Path of the Spear,Survive the initial system integration.,1500,loot_036,The Legend of Randidly Ghosthound,3000
q_037,book,The Legend of Randidly Ghosthound 2: A LitRPG Adventure,Tribulation,Face the system's wrath.,300,loot_037,The Legend of Randidly Ghosthound,250
