Flavor_Text,Category,Min_Rarity
The System found this in a trash bin. Enjoy.,General,Common
A reward for your 'hard work.' Try not to lose it.,General,Common
Property of a dead adventurer. Waste not, want not.,General,Common
A pity prize for finishing another book.,General,Common
Slightly better than nothing. Only slightly.,General,Common
The craftsmanship is... adequate. Barely.,General,Common
It still smells faintly of the previous owner.,General,Common
The System acknowledges your survival. For now.,System,Common
A patch fix for a bug that technically never existed.,System,Uncommon
Hard-coded into the reality substrate for your convenience.,System,Rare
Error 404: Better loot not found.,System,Common
Forged in the fires of your own obsession.,System,Uncommon
The AI that designed this was having a bad day.,System,Common
Your progress has been noted. Please remain seated.,System,Uncommon
Iron gold is just lead with a better publicist.,Red Rising,Rare
Live for more. Or at least for better gear.,Red Rising,Uncommon
A gift from the mines; a weight for the surface.,Red Rising,Rare
The Reaper sends his regards.,Red Rising,Epic
Break the chains; or just break some skulls.,Red Rising,Uncommon
God dammit Donut!,Dungeon Crawler Carl,Rare
Princess Donut finds the craftsmanship... acceptable.,Dungeon Crawler Carl,Epic
Mongo is appalled by this item.,Dungeon Crawler Carl,Rare
The System AI is currently watching you. Creepy.,Dungeon Crawler Carl,Uncommon
Try not to get blown up today.,Dungeon Crawler Carl,Common
It's never truly the last time.,The Good Guys,Uncommon
One more quest. Just one more.,The Good Guys,Common
A bargain from Dan's backroom. Possibly cursed.,The Bad Guys,Common
The price was right; the safety rating was not.,The Bad Guys,Common
Scamp-approved. Whatever that's worth.,The Bad Guys,Uncommon
Defiance is its own reward. But gear is better.,Defiance of the Fall,Rare
Sturdy as an Ogre's skull.,Defiance of the Fall,Uncommon
The hunt is eternal.,Primal Hunter,Rare
Villy says hello. Or he would if he cared.,Primal Hunter,Epic
Taken from the deepest reach of the abyss.,Ancient,Epic
It whispers secrets of a dead civilization.,Ancient,Rare
The metal feels cold; even in a forge.,Ancient,Rare
Primordial energy hums within the core.,Ancient,Legendary
Only a king should hold this. Or a very lucky thief.,Ancient,Legendary
Older than the stars; heavier than a mountain.,Ancient,Legendary
Void-touched and twice as dangerous.,Ancient,Epic
Slightly sharper than a spoon. Slightly.,Combat,Common
Pointy end goes into the other guy.,Combat,Common
A reliable choice for the statistically average.,Combat,Common
The edge is microscopic; the damage is not.,Combat,Rare
Forged for battle; intended for victory.,Combat,Uncommon
Heavy enough to solve most arguments.,Combat,Uncommon
Light as a feather; deadly as a storm.,Combat,Rare
A masterpiece of violence.,Combat,Epic
If it breaks; you weren't using it right.,Combat,Common
The last thing your enemies will never see.,Combat,Rare
Wait; is that a bloodstain or a design choice?,General,Common
The System refuses to comment on this item.,System,Rare
Procedurally generated for maximum efficiency.,System,Uncommon
Congratulations. You found the shiny thing.,General,Common
It pulses with a rhythmic; annoying light.,General,Common
One of a kind. Until you find another one.,General,Uncommon
Highly recommended by 4 out of 5 dead heroes.,General,Uncommon
Warning: Do not consume.,System,Common
It feels like someone is watching you.,General,Rare
A remnant of a world that didn't survive the Shift.,Ancient,Epic
Stamped out by a bored quartermaster and dropped immediately. A natural lifecycle.,General,Common
"This survived a drawer full of junk. Against all odds, so did you.",General,Common
The finish peeled off before you equipped it. Very efficient.,General,Common
"Mass-produced, lightly cursed, and somehow still an upgrade.",System,Common
It looks rented. The System expects it back in worse condition.,System,Common
"Recovered from a battlefield, or a yard sale. Same energy.",Combat,Common
Built from scrap and optimism. One of those failed first.,General,Common
"Somebody threw this away. The System saw potential. Tragic, really.",System,Common
"It rattles when moved, much like your long-term build plan.",General,Common
"The edges are dull, the seams are crooked, and yet here we are.",Combat,Common
Factory-second quality for a second-rate hero.,System,Common
"If disappointment had a loot table entry, this would be near the top.",General,Common
"Worn thin by previous owners, poor decisions, and budget cuts.",Combat,Common
Issued in bulk to people expected not to last the week.,Combat,Common
The inscription reads: 'good enough.' It was lying.,Ancient,Common
Even the goblins passed on this one. Bold of you to disagree.,General,Common
A minor triumph of cheap materials over basic standards.,System,Common
"Smells like mildew, pennies, and survivorship bias.",General,Common
This once belonged to a nameless recruit. You may now continue the tradition.,Combat,Common
Forged in haste and probably in violation of several safety codes.,System,Common
The kind of gear merchants call 'starter' and veterans call 'bait.',General,Common
"The stitching is uneven, but so is fate.",General,Common
One hard hit from becoming two smaller items.,Combat,Common
It was discovered under a cart. Great destinies begin somewhere awful.,General,Common
The System has classified this as usable. Barely.,System,Common
"Calibrated by the System to be adequate, which for you counts as praise.",System,Uncommon
Carries the faint confidence of gear that has only failed other people.,General,Uncommon
"Battle-tested, if you define battle very loosely.",Combat,Uncommon
A quiet relic from a road no map still remembers.,Ancient,Uncommon
The brass gleam suggests ambition. The dents suggest reality.,General,Uncommon
Something in its weight encourages violence. Helpful.,Combat,Uncommon
Improved after three revisions and one embarrassing recall.,System,Uncommon
Not heroic. Not worthless. The middle path remains ugly.,General,Uncommon
"Old metal, older grudges, and a design that still gets results.",Combat,Uncommon
The maker signed it with pride. History chose not to remember them.,Ancient,Uncommon
Dungeon Crawler Carl would call this suspiciously practical. That is not a compliment.,Dungeon Crawler Carl,Uncommon
Cradle-grade refinement for those not yet ready to stop embarrassing themselves.,Cradle,Uncommon
"Defiance of the Fall in item form: rough, stubborn, and unlikely to die politely.",Defiance of the Fall,Uncommon
"He Who Fights with Monsters would wear this ironically. You, sadly, mean it.",He Who Fights with Monsters,Uncommon
"A Wandering Inn sort of piece: homely, durable, and hiding more bite than expected.",The Wandering Inn,Uncommon
"Red Rising left its mark here: all polish on the surface, all violence underneath.",Red Rising,Uncommon
Beware of Chicken energy. Looks harmless right up until the bill comes due.,Beware of Chicken,Uncommon
"Arcane Ascension craftsmanship. Complicated, disciplined, and eager to judge your mana control.",Arcane Ascension,Uncommon
Azarinth Healer would approve of its refusal to stay respectable.,Azarinth Healer,Uncommon
"Noobtown quality: somehow dumb, effective, and impossible to explain cleanly.",Noobtown,Uncommon
"The Ripple System would label this a feature, not a balance issue.",The Ripple System,Uncommon
Everybody Loves Large Chests would keep this for the murder potential alone.,Everybody Loves Large Chests,Uncommon
Dragon Heart craftsmanship with just enough pride to become a problem.,Dragon Heart Series,Uncommon
"A System Universe design: modular, efficient, and mildly insulting by default.",System Universe Series,Uncommon
Ascend Online style. Built for people who insist fun should come with numbers.,Ascend Online,Uncommon
The lines are too precise for common hands. Something patient made this.,Ancient,Rare
"Its balance is flawless, which only highlights your own shortcomings.",Combat,Rare
The System rarely admits admiration. This is close.,System,Rare
"A hidden geometry hums beneath the surface, old as vows and older than kings.",Ancient,Rare
Carried by veterans who survived long enough to become cautionary tales.,Combat,Rare
Dungeon Crawler Carl would probably loot this mid-apocalypse and complain the whole time.,Dungeon Crawler Carl,Rare
"A Cradle-forged piece, tempered by pressure and the refusal to remain small.",Cradle,Rare
Defiance of the Fall lingers in it like a scar that learned to bite back.,Defiance of the Fall,Rare
"He Who Fights with Monsters sentiment, sharpened into something a little less friendly.",He Who Fights with Monsters,Rare
The Primal Hunter would recognize the hunger in this design.,The Primal Hunter,Rare
From The Wandering Inn comes that strange miracle of comfort surviving catastrophe.,The Wandering Inn,Rare
Red Rising left gold-bright edges and a promise written in blood.,Red Rising,Rare
Arcane Ascension marks trace along it in disciplined currents of restrained power.,Arcane Ascension,Rare
"Azarinth Healer style. Meant for pain, recovery, and then more pain.",Azarinth Healer,Rare
"Chrysalis practicality: brutal, communal, and entirely uninterested in your approval.",Chrysalis,Rare
"Noobtown nonsense refined into an object that should not work, yet rudely does.",Noobtown,Rare
"The Ripple System wrapped math, mockery, and efficiency into one tidy problem.",The Ripple System,Rare
"A Song of Ice and Fire remembers: winter is patient, steel more so.",A Song of Ice and Fire,Rare
"World of Warcraft influence. Heroic styling, raid-grade ego, actual utility.",World of Warcraft,Rare
"The Hedge Wizard feel lingers here: humble craft, hidden teeth, no wasted motion.",The Hedge Wizard,Rare
Not made for ordinary wars. Not meant for ordinary hands either.,Ancient,Epic
The System flagged this as significant. You should try being the same.,System,Epic
"Every scar on it is deliberate. Every silence, earned.",Combat,Epic
Dungeon Crawler Carl would call this absurd. He would also equip it instantly.,Dungeon Crawler Carl,Epic
Cradle pressure shaped this into a promise: ascend or shatter.,Cradle,Epic
"Defiance of the Fall carved its law into this: survive first, explain never.",Defiance of the Fall,Epic
"He Who Fights with Monsters echoes here in equal parts wit, venom, and impossible timing.",He Who Fights with Monsters,Epic
The Primal Hunter left the scent of pursuit on it. Predators notice.,The Primal Hunter,Epic
The Wandering Inn warmth has cooled into resolve. Hearthfire can become siegefire.,The Wandering Inn,Epic
Red Rising speaks through it in the language of rebellion and beautiful ruin.,Red Rising,Epic
Beware of Chicken simplicity masks force vast enough to humble armies.,Beware of Chicken,Epic
Arcane Ascension sigils interlock across it like a thesis written in lightning.,Arcane Ascension,Epic
Azarinth Healer made pain into a teacher. This piece graduated with honors.,Azarinth Healer,Epic
"Chrysalis bred this philosophy into matter: endure, adapt, consume, repeat.",Chrysalis,Epic
Everybody Loves Large Chests would treasure this with the sincere affection of a predator.,Everybody Loves Large Chests,Epic
"Dragon Heart forged its ambition here, bright enough to be mistaken for destiny.",Dragon Heart Series,Epic
"System Universe engineering. Elegant in theory, terrifying in practice.",System Universe Series,Epic
Ascend Online remembered what games were before comfort diluted them.,Ascend Online,Epic
World of Warcraft grandeur without the waiting in queue. A minor miracle.,World of Warcraft,Epic
